fsm, mapping, replan, sfc, mpc, df, total, 
2.554e-06, 0.0533861, 0, 0, 0.000381488, 2.052e-06, 0.000386647, 
2.177e-06, 0, 0, 0, 0.000274498, 2.189e-06, 0.000279112, 
2.223e-06, 0, 0, 0, 0.00036959, 3.0192e-05, 0.000402356, 
1.666e-06, 0, 0, 0, 0.00025825, 1.2502e-05, 0.000272598, 
2.81e-06, 0, 0, 0, 0.000368811, 1.1812e-05, 0.000383704, 
3.072e-06, 0, 0, 0, 0.000398263, 1.3405e-05, 0.000415065, 
3.022e-06, 0.0260366, 0, 0, 0.00040802, 2.837e-06, 0.000414281, 
2.361e-06, 0, 0, 0, 0.000374007, 1.742e-06, 0.000378328, 
3.361e-06, 0, 0, 0, 0.000392866, 3.775e-06, 0.000400711, 
2.397e-06, 0, 0, 0, 0.000374498, 2.831e-06, 0.000380214, 
2.421e-06, 0, 0, 0, 0.000347129, 1.819e-06, 0.000351603, 
2.162e-06, 0, 0, 0, 0.000364582, 2.073e-06, 0.000369032, 
1.918e-06, 0, 0, 0, 0.000273103, 2.401e-06, 0.000277735, 
1.754e-06, 0, 0, 0, 0.000245037, 1.33e-06, 0.000248656, 
2.608e-06, 0, 0, 0, 0.000376376, 2.563e-06, 0.000381816, 
4.026e-06, 0.029084, 0, 0, 0.000305876, 1.8156e-05, 0.000328469, 
2.665e-06, 0, 0, 0, 0.000389068, 2.578e-06, 0.000394655, 
2.901e-06, 0, 0, 0, 0.000338955, 1.3793e-05, 0.000356036, 
2.958e-06, 0, 0, 0, 0.000422741, 2.353e-06, 0.000428505, 
2.35e-06, 0, 0, 0, 0.000363285, 2.293e-06, 0.000368202, 
2.146e-06, 0, 0, 0, 0.000367152, 1.805e-06, 0.000371483, 
2.434e-06, 0, 0, 0, 0.000282289, 1.5301e-05, 0.000300303, 
2.065e-06, 0, 0, 0, 0.000270631, 1.1517e-05, 0.000284395, 
2.633e-06, 0, 0, 0, 0.000342542, 1.1519e-05, 0.000357066, 
1.336e-06, 0, 0, 0, 0.000269368, 1.579e-06, 0.000272433, 
1.3114e-05, 0.026835, 0, 0, 0.000414788, 2.232e-06, 0.000430899, 
2.716e-06, 0, 0, 0, 0.000398693, 2.312e-06, 0.000404019, 
1.869e-06, 0, 0, 0, 0.000270826, 2.341e-06, 0.000275387, 
2.354e-06, 0, 0, 0, 0.000344409, 4.3893e-05, 0.000391034, 
3.189e-06, 0, 0, 0, 0.000386668, 1.6202e-05, 0.000406453, 
2.667e-06, 0, 0, 0, 0.000386524, 2.638e-06, 0.000392329, 
4.536e-06, 0, 0, 0, 0.00522687, 2.456e-06, 0.00523423, 
2.93e-06, 0, 0, 0, 0.000389309, 1.431e-06, 0.000393918, 
2.211e-06, 0, 0, 0, 0.000304601, 9.475e-06, 0.000316479, 
4.352e-06, 0, 0, 0, 0.000801754, 2.909e-06, 0.000809369, 
5.065e-06, 0, 0, 0, 0.000583535, 3.35e-06, 0.000592525, 
3.334e-06, 0, 0, 0, 0.000411137, 2.296e-06, 0.000417186, 
2.113e-06, 0.0269761, 0, 0, 0.000388366, 2.612e-06, 0.000393661, 
2.476e-06, 0, 0, 0, 0.000383177, 2.466e-06, 0.000388527, 
2.511e-06, 0, 0, 0, 0.000363, 1.796e-06, 0.00036773, 
3.446e-06, 0, 0, 0, 0.000379598, 2.8e-06, 0.000386198, 
3.251e-06, 0, 0, 0, 0.000376617, 3.266e-06, 0.000383612, 
1.826e-06, 0, 0, 0, 0.000291437, 1.2819e-05, 0.000306401, 
2.939e-06, 0, 0, 0, 0.000382916, 2.49e-06, 0.000389012, 
1.863e-06, 0.0115828, 0, 0, 0.000271938, 1.0119e-05, 0.000284116, 
9.362e-06, 0, 0, 0, 0.000257766, 1.553e-06, 0.000268921, 
3.465e-06, 0, 0, 0, 0.000538079, 2.855e-06, 0.000544825, 
3.848e-06, 0, 0, 0, 0.000684984, 3.131e-06, 0.000692423, 
4.576e-06, 0, 0, 0, 0.000672645, 3.106e-06, 0.000680939, 
1.841e-06, 0, 0, 0, 0.000307111, 2.599e-06, 0.000311879, 
1.674e-06, 0, 0, 0, 0.000290236, 2.144e-06, 0.000294385, 
2.439e-06, 0, 0, 0, 0.000367101, 2.447e-06, 0.000372386, 
2.63e-06, 0, 0, 0, 0.000460568, 2.738e-06, 0.000466305, 
2.866e-06, 0, 0, 0, 0.000276442, 1.804e-06, 0.000281385, 
2.007e-06, 0, 0, 0, 0.000286827, 1.5148e-05, 0.000304242, 
2.096e-06, 0, 0, 0, 0.000255005, 4.3403e-05, 0.00030079, 
2.032e-06, 0.0239706, 0, 0, 0.000673348, 1.773e-06, 0.000677558, 
2.523e-06, 0, 0, 0, 0.000384597, 1.913e-06, 0.000389316, 
2.168e-06, 0, 0, 0, 0.000275633, 1.1456e-05, 0.000289509, 
2.059e-06, 0, 0, 0, 0.000359174, 2.036e-06, 0.000363637, 
2.207e-06, 0, 0, 0, 0.00034768, 1.687e-06, 0.000351866, 
3.15e-06, 0, 0, 0, 0.000399211, 2.405e-06, 0.000405113, 
3.472e-06, 0, 0, 0, 0.000382663, 2.379e-06, 0.000388799, 
1.845e-06, 0.0105362, 0, 0, 0.000263864, 9.023e-06, 0.000274922, 
2.824e-06, 0, 0, 0, 0.000470626, 2.134e-06, 0.000475911, 
2.01e-06, 0, 0, 0, 0.000259872, 1.905e-06, 0.000264017, 
2.97e-06, 0, 0, 0, 0.000386514, 2.516e-06, 0.000392326, 
2.597e-06, 0, 0, 0, 0.000384346, 2.543e-06, 0.000389709, 
2.69e-06, 0, 0, 0, 0.000482336, 2.344e-06, 0.000487757, 
2.698e-06, 0, 0, 0, 0.000385706, 2.712e-06, 0.000391578, 
2.491e-06, 0, 0, 0, 0.000454256, 1.655e-06, 0.000458671, 
2.825e-06, 0, 0, 0, 0.000308555, 3.5746e-05, 0.000347766, 
